BÁO CÁO TRAFFIC INPUT 8 CỬA HÀNG,,,,,,,,
Form đọc traffic theo từng cửa hàng: mỗi block là 1 cửa hàng, dòng là giờ, cột là thứ trong tuần. Traffic lấy trung bình theo tháng/quý.,,,,,,
10,1.3,1,1.5,1.3,,2,1,
11,2,0,0,1.5,2,1,1.5,
12,0,1,2,0,2,2,2,
13,1,1,0,0,3,4,6.5,
14,1,0,2.3,1,2.5,2,0.5,
15,2,1,2,2.5,4.5,2,1.5,
16,2,2,3.3,0.5,1,4,1.5,
17,4.3,3,0.7,2.5,1.5,1.5,3,
18,1.7,4.7,5.7,5,3.5,3.5,4.5,
19,0,2.3,3.5,1.5,3.5,8,3,
20,1.3,4.3,2,0,3,4,2,
21,,,1,0,0,1.5,,
22,,,,,,,,
23,,,,,,,,
,,,,,,,,
RS - YODY Rạch Sỏi - Kiên Giang,,,,,,,,
Giờ,Thứ 2,Thứ 3,Thứ 4,Thứ 5,Thứ 6,Thứ 7,Chủ nhật,Ghi chú
7,,,,,,,,
8,,1,1,1,1,0,,
9,2.5,2.7,2.3,0.5,2.5,4,2,
10,1.5,0.5,0.7,1,1,2,3,
11,1.5,3,0.5,3,1,2,1,
12,0,0,3,2,1.5,1,1,
13,,1,2,3,1.5,1,0.5,
14,1,1.5,1.3,0,,0,,
15,1.3,1,2,3,2,4,1,
16,2,1,2.5,0.7,3,1.5,2,
17,1,1,3.3,0,3,1,3,
18,2.3,4,1.7,1.7,3,2,0.5,
19,3.7,2.7,2.7,0.5,3.5,6.5,4.5,
20,3.5,1.5,0,0.7,2,3,2,
21,1,,1,0,0,0,1,
22,,,,,,,,
23,,,,,,,,
,,,,,,,,
NB - YODY Ngã Bảy,,,,,,,,
Giờ,Thứ 2,Thứ 3,Thứ 4,Thứ 5,Thứ 6,Thứ 7,Chủ nhật,Ghi chú
7,,,,,,,,
8,2.5,2.7,4.5,0.7,1,2,1,
9,1,2,4.3,4,1,1,2,
10,1.7,1,1,1.5,3,3.5,1.5,
11,3,2,2.7,1.5,1,1,1.5,
12,1.3,1.5,2,3,3,2,1.5,
13,1,3,0.5,1,1,1,3,
14,1.7,1.5,2,2,1,0.5,1,
15,3.3,1,1.3,1,2,1.5,2,
16,2,2.3,2.7,2,1,4,3,
17,2,4,2.5,2.3,2,6,1,
18,3,2.3,8,2,4,6.5,4,
19,2.3,1.7,3,3,6,3,3.5,
20,3,0,2,0.3,1,,3,
21,,1,2,,0,,,
22,,,,,,,,
23,,,,,,,,
